CustomerTypeFourId|Name|Inactive|DateCreated|DateUpdated|Guid
1|Restaurant|False|2019-08-12 15:40:21.470000000||{294483BE-5F14-4003-9449-3D825EF232EE}
2|Delivery y Rotisería|False|2019-08-12 15:40:21.503000000||{32BDC56D-DD7F-4E53-A9C6-25522768950B}
3|Pizzería (Pizzas y Empanadas)|False|2019-08-12 15:40:21.520000000||{714622C9-6EFC-494C-87BF-C2E47810CCC3}
4|Bar, Pub y Boliche|False|2019-08-12 15:40:21.537000000||{DBFDF5C8-E659-4064-82AE-1521FD15AA7F}
5|Heladería|False|2019-08-12 15:40:21.550000000||{4E1B53D4-B76D-4BA9-8073-2470237E6E0F}
6|Sushi|False|2019-08-12 15:40:21.570000000||{1B2DD6FF-071F-4568-B6EB-887E5A2D45D3}
7|Confitería y Panadería|False|2019-08-12 15:40:21.593000000||{5128DE21-F157-4B77-8110-C836517AF48D}
8|Cervecería y Hamburguesería|False|2019-08-12 15:40:21.613000000||{20A4A529-0C16-43C3-B90D-0A34B23E4444}
