Agente,Q.Chats,Q.Contactos,Chats Hra.,Hrs. Chats,Hrs. Online.,Hrs. Sesion,TMO,% Prod.,% Ocup.,Tot. Pausa,ALMUERZO,BAÑO,REUNIÓN,DESCANSO,REUNION,LLAMADO
Agente 1 - Soporte,2399,2186,1614.2300000000007,*:53:35,776:6:28,893:30:1,0:27:14,87.688,53.11,117:23:33,04:19:02,01:49:42,00:00:00,26:26:47,67:01:29,03:22:31
Agente 2 - Soporte,2861,2593,2040.4099999999994,*:20:50,*:9:49,*:17:18,0:43:50,86.204,75.046,*:7:29,700:46:18,03:20:16,00:00:00,86:26:53,83:23:15,00:51:19
Agente 3 - Soporte,3513,3184,513.66,*:41:32,*:1:56,*:4:50,0:51:25,85.994,93.063,892:2:54,13:53:08,01:30:56,00:00:00,46:56:06,380:55:49,01:35:37
Agente 4 - Soporte,2913,2666,488.9200000000002,*:46:27,*:3:36,*:6:12,0:50:24,88.863,91.784,119:2:36,05:20:57,03:59:01,00:00:00,37:33:25,71:42:29,00:00:09
Agente 5 - Soporte,3728,3398,565.0099999999998,*:25:8,*:28:41,*:41:22,0:43:46,85.905,94.392,164:12:41,12:50:19,05:14:22,00:00:00,74:24:05,69:10:26,00:38:34
Ventas,266,255,11.519999999999992,*:56:56,*:5:59,*:5:59,4:12:39,100.0,19.399,0:0:0,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00,00:00:00
Administracion,1549,1486,59.50000000000001,*:44:45,*:48:48,*:57:52,9:47:19,98.814,90.938,34:9:4,32:35:23,00:00:00,00:00:00,00:00:04,01:33:37,00:00:00
