ModuleLicenseId|ModuleId|LicenseId|IsActive|DateCreated|DateUpdated|UserId|UpdatedUserId|ModuleType
58|65536|15|False|2019-04-26 16:52:09.933000000|2020-04-14 18:46:08.083000000|261|539|3
59|115|15|False|2019-04-26 17:42:57.763000000|2020-04-14 18:46:08.083000000|261|539|1
60|4096|15|False|2019-04-26 17:42:57.763000000|2020-04-14 18:46:08.083000000|261|539|2
61|65536|15|False|2019-04-26 17:42:57.767000000|2020-04-14 18:46:08.083000000|261|539|3
62|8|10|False|2019-04-26 18:21:40.403000000|2019-12-02 11:29:40.333000000|289|261|2
63|1024|10|False|2019-04-26 18:21:40.403000000|2019-12-02 11:29:40.333000000|289|261|3
64|16384|10|False|2019-04-26 18:21:40.407000000|2019-12-02 11:29:40.333000000|289|261|3
65|65536|10|False|2019-04-26 18:21:40.407000000|2019-12-02 11:29:40.333000000|289|261|3
66|115|10|False|2019-04-26 18:21:40.407000000|2019-12-02 11:29:40.333000000|289|261|1
67|115|15|False|2019-04-27 18:13:42.413000000|2020-04-14 18:46:08.083000000|263|539|1
68|4096|15|False|2019-04-27 18:13:42.413000000|2020-04-14 18:46:08.083000000|263|539|2
69|65536|15|False|2019-04-27 18:13:42.413000000|2020-04-14 18:46:08.083000000|263|539|3
70|115|15|False|2019-04-27 18:42:34.137000000|2020-04-14 18:46:08.083000000|263|539|1
71|4096|15|False|2019-04-27 18:42:34.137000000|2020-04-14 18:46:08.083000000|263|539|2
72|65536|15|False|2019-04-27 18:42:34.137000000|2020-04-14 18:46:08.083000000|263|539|3
73|115|3|False|2019-04-29 10:44:45.010000000|2020-08-06 16:02:11.547000000|0|253|1
74|4|3|False|2019-04-29 10:44:45.010000000|2020-08-06 16:02:11.547000000|0|253|2
75|65536|3|False|2019-04-29 10:44:45.013000000|2020-08-06 16:02:11.547000000|0|253|3
76|49|16|False|2019-04-29 14:15:44.690000000|2019-11-05 11:10:19.763000000|267|338|2
77|49|17|True|2019-04-29 14:15:45.540000000||267||2
